id,yelpid,name,cost,address,city,st,zip,website
1,/biz/yolk-chicago-8,Yolk,2,355 E Ohio St,Chicago,IL,60611,eatyolk.com
2,/biz/wildberry-pancakes-and-cafe-chicago-2,Wildberry Pancakes and Cafe,2,130 E Randolph St,Chicago,IL,60601,wildberrycafe.com
3,/biz/do-rite-donuts-and-chicken-chicago-4,Do-Rite Donuts & Chicken,1,233 E Erie St,Chicago,IL,60611,doritedonuts.com
4,/biz/sunny-side-up-and-coffee-shop-chicago,Sunny Side Up & Coffee Shop,2,42 E Superior St,Chicago,IL,60611,
5,/biz/beatrix-streeterville-chicago,Beatrix Streeterville,2,671 N St Clair,Chicago,IL,60611,beatrixchicago.com
6,/biz/west-egg-cafe-chicago-2,West Egg Cafe,2,620 N Fairbanks Ct,Chicago,IL,60611,
7,/biz/yolk-river-north-chicago-2,Yolk River North,2,747 N Wells,Chicago,IL,60654,eatyolk.com
8,/biz/the-local-chicago-chicago,The Local Chicago,2,198 E Delaware Pl,Chicago,IL,60611,thelocalchicago.com
9,/biz/original-pancake-house-chicago,Original Pancake House,2,22 E Bellevue Pl,Chicago,IL,60611,originalpancakehouse.com
10,/biz/eggsperience-pancakes-and-cafe-chicago-2,Eggsperience Pancakes and Cafe,2,35 W Ontario St,Chicago,IL,60654,eggsperiencecafe.com
11,/biz/glazed-and-infused-chicago-6,Glazed & Infused,1,30 E Hubbard St,Chicago,IL,60611,goglazed.com
12,/biz/fabcakes-chicago,Fabcakes,1,714 N Wells St,Chicago,IL,60654,fabcakeschicago.com
13,/biz/nomi-kitchen-chicago,NoMI Kitchen,4,Park Hyatt Chicago,Chicago,IL,60611,nomIrestaurant.com
14,/biz/nyc-bagel-deli-chicago-3,NYC Bagel Deli,1,515 N Dearborn St,Chicago,IL,60654,nycbd.com
15,/biz/dollop-coffee-and-tea-chicago-2,Dollop Coffee & Tea,1,345 E Ohio St,Chicago,IL,60611,dollopcoffee.com
16,/biz/tempo-cafe-chicago,Tempo Cafe,2,6 E Chestnut St,Chicago,IL,60611,
17,/biz/travelle-chicago,Travelle,3,330 N Wabash Ave,Chicago,IL,60611,travellechicago.com/#/location
18,/biz/pittsfield-cafe-chicago,Pittsfield Cafe,1,55 E Washington St,Chicago,IL,60602,
19,/biz/lyfe-kitchen-chicago-2,LYFE Kitchen,2,259 E Erie St,Chicago,IL,60611,lyfekitchen.com
20,/biz/beatrix-river-north-chicago,Beatrix River North,2,519 North Clark Street,Chicago,IL,60654,beatrixchicago.com
21,/biz/l-appetito-chicago,LAppetito,1,875 N Michigan Ave,Chicago,IL,60611,lappetito.com
22,/biz/waffles-cafe-chicago-3,Waffles Cafe,2,203 E Ohio St,Chicago,IL,60611,wafflescafechicago.com
23,/biz/hendrickx-belgian-bread-crafter-chicago,Hendrickx Belgian Bread Crafter,2,100 E Walton St,Chicago,IL,60611,hendrickxbakery.com
24,/biz/kanela-breakfast-club-chicago-5,Kanela Breakfast Club,2,502 E Illinois St,Chicago,IL,60611,kanelabreakfastclub.com
25,/biz/lyfe-kitchen-chicago,LYFE Kitchen,2,413 North Clark St,Chicago,IL,60654,lyfekitchen.com/locations/il/äó_
26,/biz/pierrot-gourmet-chicago,Pierrot Gourmet,2,Peninsula Chicago Hotel,Chicago,IL,60611,chicago.peninsula.com
27,/biz/leonidas-chocolaterie-chicago-2,Leonidas Chocolaterie,2,59 E Chicago Ave,Chicago,IL,60611,leonidas-usa.com
28,/biz/cafe-integral-chicago,Cafe Integral,2,19 E Ohio St,Chicago,IL,60611,thefreehand.com/chicago/cafe
29,/biz/meli-caf%C3%A9-chicago-2,Meli Caf,2,540 N Wells St,Chicago,IL,60654,melicafe.com
30,/biz/sable-chicago,Sable,3,505 N State St,Chicago,IL,60654,sablechicago.com
31,/biz/freestyle-food-and-drink-chicago-4,Freestyle Food & Drink,2,660 N State St,Chicago,IL,60654,freestylefoodanddrink.com
32,/biz/eggys-diner-chicago-3,Eggys Diner,2,333 E Benton Pl,Chicago,IL,60601,eggysdiner.com
33,/biz/xoco-chicago,Xoco,2,449 N Clark St,Chicago,IL,60654,rickbayless.com
34,/biz/nico-osteria-chicago,Nico Osteria,3,1015 N Rush St,Chicago,IL,60611,nicoosteria.com
35,/biz/markethouse-chicago-2,Markethouse,2,611 N Fairbanks Ct,Chicago,IL,60611,
